場,レース,買い目,推定確率%,オッズ(取得時),回収率%
三国,6R,4-1-3,3.01,52.6,158.3
宮島,4R,1-3-2,15.36,10.3,158.2
鳴門,5R,3-1-2,4.64,34.1,158.2
蒲郡,3R,2-5-1,2.20,72.0,158.2
三国,11R,2-4-3,2.23,70.9,158.2
平和島,11R,1-6-4,4.54,34.8,158.2
びわこ,10R,2-1-3,2.47,63.9,158.1
宮島,6R,1-2-4,8.82,17.9,157.9
鳴門,8R,4-1-2,7.89,20.0,157.8
丸亀,7R,1-5-4,2.71,58.1,157.7
びわこ,3R,1-4-2,6.57,24.0,157.7
唐津,2R,1-2-4,2.64,59.6,157.6
宮島,8R,1-6-4,3.64,43.2,157.3
尼崎,1R,1-3-2,13.43,11.7,157.1
鳴門,2R,4-1-3,6.57,23.9,156.9
鳴門,10R,2-1-4,4.92,31.9,156.9
蒲郡,10R,1-5-4,7.47,21.0,156.8
